"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000001460.18",138.44214315515,-1.15165753419308,0.262881679516759,-4.38089689745635,1.18191791084479e-05,0.000146269225891034
"ENSG00000001461.17",248.737180848808,-1.25927291785572,0.211626894857993,-5.95043894917383,2.67424310854513e-09,8.18232125308081e-08
"ENSG00000001617.12",17.4207612563419,1.74698049911053,0.730710408175908,2.39079733854012,0.0168118299601947,NA
"ENSG00000003137.9",57.5158404169173,2.04048477798605,0.460026238037363,4.43558347169825,9.18232425663443e-06,0.000118610976462888
"ENSG00000003989.18",10.4412740077803,1.86487395687546,0.921762557300281,2.02316089117074,0.043056562336965,NA
"ENSG00000004468.13",0.99966914563584,-3.45155112269926,2.99815855472077,-1.15122367936966,0.249640225928897,NA
"ENSG00000005513.10",68.1510352673912,2.37774892787425,0.391856313497208,6.06791021600112,1.29585309327428e-09,4.2849645783253e-08
"ENSG00000005700.15",3551.25088791622,-1.29281177976462,0.115357530386482,-11.2069994514734,3.7674940114439e-29,1.8529093695542e-26
"ENSG00000005884.18",5753.64616396486,1.03025839668471,0.113880971414357,9.04680021507813,1.4721905080846e-19,2.53885944894226e-17
"ENSG00000005961.19",5.97675773658059,1.27259095264603,1.17061509850556,1.08711305216433,0.276986850225676,NA
"ENSG00000006025.12",24.631390025286,1.63536308759784,0.60604139730356,2.69843461993522,0.00696664208333468,0.0299967705008434
"ENSG00000006047.13",3.48933005632562,-1.3335962253641,1.53907754363915,-0.866490600734001,0.386221178618383,NA
"ENSG00000006071.15",0.496774206472701,2.43376727899974,3.96708107703081,0.613490682882971,0.539551941520698,NA
"ENSG00000006118.15",157.905090127051,2.09260853865461,0.261504174888779,8.00219935128998,1.22216306165345e-15,1.18460607997783e-13
"ENSG00000006210.7",4.95806468414511,4.23602992414055,1.86037890382352,2.27697159725608,0.0227879217719348,NA
"ENSG00000006377.11",3.2338710323635,2.45103573429731,1.7726206669562,1.38271869440969,0.166751137474616,NA
"ENSG00000006459.11",457.253145808159,-1.04730887728301,0.184961880022368,-5.66229580471582,1.49361060430263e-08,3.91058580653229e-07
"ENSG00000006638.13",51.0085616939523,1.3678794318206,0.43187241511357,3.1673229962161,0.00153849335517475,0.00892124596653516
"ENSG00000007264.15",33.8357326343576,1.520140448579,0.508467225273562,2.9896527701685,0.0027929474302672,0.0144144187609271
"ENSG00000007314.12",0.746608779290621,-1.01114686008397,3.23769535558962,-0.312304509545131,0.754809113210263,NA
"ENSG00000008516.18",4.992721277035,-1.22942324297927,1.28844136954623,-0.954194169822614,0.339985365267324,NA
"ENSG00000010282.15",1.49611249774438,-1.00848747003889,2.41833051860281,-0.417018047070566,0.676665207359247,NA
"ENSG00000010327.10",1.49933829127168,-2.32751310357252,2.55001342392067,-0.912745431745198,0.361376443694653,NA
"ENSG00000010379.16",25.7170802829522,-1.49943761218803,0.612415084553432,-2.44840084773779,0.0143491917942791,0.0532689174828718
"ENSG00000010671.16",2.242721277035,-1.82143216762457,2.03366404205882,-0.895640641696458,0.370444722185639,NA
"ENSG00000010810.17",3.74528536183398,-1.46516141104365,1.54926488822984,-0.945713946126874,0.344294507332412,NA
"ENSG00000011028.14",216.064436907829,1.24914408546392,0.226777760260093,5.508230101714,3.62459429585138e-08,8.75108866447464e-07
"ENSG00000011422.12",1053.45969744649,1.24298564342906,0.140703182996432,8.83409754462047,1.00909570067366e-18,1.48886464547173e-16
