GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000001460.18,138.4421432,-1.151657534,0.26288168,-4.380896897,1.18E-05,0.000146269
ENSG00000001461.17,248.7371808,-1.259272918,0.211626895,-5.950438949,2.67E-09,8.18E-08
ENSG00000005700.15,3551.250888,-1.29281178,0.11535753,-11.20699945,3.77E-29,1.85E-26
ENSG00000006459.11,457.2531458,-1.047308877,0.18496188,-5.662295805,1.49E-08,3.91E-07
ENSG00000012124.17,330.7598439,-1.934629408,0.198194969,-9.7612438,1.65E-22,4.14E-20
ENSG00000025039.15,2106.50018,-1.011394768,0.118233236,-8.554234035,1.19E-17,1.54E-15
ENSG00000026950.17,347.8137321,-1.466838033,0.188075744,-7.799187703,6.23E-15,5.17E-13
ENSG00000029153.14,305.2979343,-1.182619287,0.201410528,-5.87168556,4.31E-09,1.25E-07
ENSG00000033122.21,25.20177845,-1.771430776,0.596775928,-2.968334832,0.00299418,0.015239445
ENSG00000052795.13,829.422379,-1.038354474,0.147617913,-7.034068246,2.01E-12,1.12E-10
ENSG00000064393.16,104.7964439,-1.330273125,0.302273291,-4.40089537,1.08E-05,0.000135435
ENSG00000066185.13,56.15860232,-2.090721124,0.424134106,-4.92938694,8.25E-07,1.43E-05
ENSG00000069956.13,1684.528009,-1.105808013,0.124331578,-8.894023809,5.89E-19,9.21E-17
ENSG00000070540.13,315.782136,-1.075852363,0.193990514,-5.545901925,2.92E-08,7.18E-07
ENSG00000070831.17,2356.914659,-1.030906719,0.131070558,-7.865280612,3.68E-15,3.24E-13
ENSG00000072182.13,25.69110851,-1.809375785,0.614685744,-2.943578574,0.003244415,0.016251445
ENSG00000073331.18,195.84082,-1.226629708,0.228869287,-5.359520824,8.34E-08,1.87E-06
ENSG00000073464.13,92.09896644,-1.41546675,0.331670793,-4.267685846,1.98E-05,0.000231283
ENSG00000074621.14,183.0832932,-1.149892625,0.233307053,-4.928666364,8.28E-07,1.43E-05
ENSG00000074966.11,19.22857736,-1.826049948,0.703205371,-2.596751994,0.009410985,0.038204973
ENSG00000077782.21,330.5912755,-1.09506656,0.219088922,-4.998274437,5.78E-07,1.06E-05
ENSG00000078814.17,45.4198513,-1.572248119,0.448604714,-3.504751664,0.000457033,0.003254127
ENSG00000079150.18,36.42928057,-1.729409095,0.498776108,-3.467305402,0.000525704,0.003674119
ENSG00000079393.20,27.97154674,-2.93747095,0.635490359,-4.622369023,3.79E-06,5.46E-05
ENSG00000080503.24,649.5898727,-1.096336782,0.166205914,-6.596256157,4.22E-11,1.92E-09
ENSG00000084444.14,280.3947908,-1.15352871,0.200438845,-5.755015753,8.66E-09,2.36E-07
ENSG00000085831.16,582.0553392,-1.003543381,0.16652131,-6.026516259,1.68E-09,5.39E-08
ENSG00000086300.16,745.4560836,-1.450990676,0.148732634,-9.75569813,1.74E-22,4.29E-20
ENSG00000087842.11,692.9716337,-1.307620088,0.150470468,-8.690210837,3.62E-18,4.95E-16
ENSG00000088305.18,330.7598036,-1.087763315,0.187030769,-5.815959157,6.03E-09,1.71E-07
ENSG00000089847.12,108.496899,-1.114723248,0.297704029,-3.744400945,0.000180825,0.001510171
ENSG00000091106.19,28.70268826,-2.009056667,0.57317347,-3.505145951,0.000456357,0.003251054
ENSG00000091490.11,266.6539719,-1.071680575,0.214755338,-4.990239509,6.03E-07,1.10E-05
ENSG00000092929.12,42.39478941,-1.192085934,0.460678294,-2.587675496,0.009662596,0.038952524
ENSG00000100031.19,36.93093485,-1.343965039,0.489208715,-2.747222194,0.00601024,0.026728057
ENSG00000100320.23,3188.530952,-1.301536142,0.118835066,-10.95245858,6.47E-28,2.68E-25
ENSG00000101213.7,146.635485,-1.020305688,0.255694041,-3.990338153,6.60E-05,0.000651888
ENSG00000101350.8,2213.222303,-1.199157428,0.130396802,-9.196218085,3.71E-20,6.93E-18
ENSG00000102057.10,168.7601328,-1.944838168,0.260187698,-7.474750664,7.74E-14,5.58E-12
ENSG00000102547.19,379.863154,-1.007359773,0.178619443,-5.639698313,1.70E-08,4.41E-07
ENSG00000103021.9,425.6817224,-1.665039242,0.178148118,-9.346375687,9.07E-21,1.82E-18
ENSG00000105737.9,48.62667531,-1.214877775,0.431447293,-2.815819675,0.004865297,0.022510347
ENSG00000105982.17,105.5000421,-1.149741413,0.295867342,-3.886003119,0.000101908,0.000934404
ENSG00000106080.11,726.0230406,-1.095503455,0.147488973,-7.427697342,1.11E-13,7.72E-12
ENSG00000108448.22,195.0944593,-1.166253485,0.234403795,-4.975403605,6.51E-07,1.16E-05
ENSG00000109265.14,86.60839572,-1.867665904,0.346250593,-5.393971712,6.89E-08,1.58E-06
ENSG00000111254.8,90.29809813,-1.26187994,0.330606627,-3.816862201,0.00013516,0.001182335
ENSG00000111305.19,20.21641857,-2.146567581,0.726174527,-2.955994052,0.003116631,0.015730043
ENSG00000111331.14,227.1301911,-1.674639163,0.225259583,-7.43426378,1.05E-13,7.47E-12
ENSG00000111801.16,90.2885035,-1.093506208,0.316147898,-3.458843841,0.000542499,0.003777582
ENSG00000111912.20,623.3431388,-1.039781805,0.157052658,-6.620593478,3.58E-11,1.67E-09
ENSG00000111961.18,323.5664618,-1.04487616,0.201421518,-5.187510097,2.13E-07,4.33E-06
ENSG00000111981.5,181.6266346,-1.360026399,0.236238042,-5.757016898,8.56E-09,2.34E-07
ENSG00000116701.15,87.63883381,-2.63231831,0.409684266,-6.42523653,1.32E-10,5.40E-09
ENSG00000119636.16,56.3756,-1.544199047,0.407384019,-3.790524355,0.00015033,0.001296251
ENSG00000119737.6,89.03345801,-1.351814381,0.335079836,-4.034305373,5.48E-05,0.000556398
ENSG00000120756.13,676.6142728,-1.060543138,0.149171184,-7.109571113,1.16E-12,6.88E-11
ENSG00000120899.18,78.84904919,-1.569759002,0.343537584,-4.569395245,4.89E-06,6.77E-05
ENSG00000124882.4,6632.197932,-1.128516226,0.108996688,-10.35367446,4.03E-25,1.30E-22
ENSG00000125122.16,57.61567452,-1.270919686,0.400260129,-3.17523429,0.001497156,0.008742625
ENSG00000126562.17,87.64114986,-2.257297139,0.34816927,-6.483332481,8.97E-11,3.84E-09
