GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000003137.9,57.51584042,2.040484778,0.460026238,4.435583472,9.18E-06,0.000118611
ENSG00000005513.10,68.15103527,2.377748928,0.391856313,6.067910216,1.30E-09,4.28E-08
ENSG00000005884.18,5753.646164,1.030258397,0.113880971,9.046800215,1.47E-19,2.54E-17
ENSG00000006025.12,24.63139003,1.635363088,0.606041397,2.69843462,0.006966642,0.029996771
ENSG00000006118.15,157.9050901,2.092608539,0.261504175,8.002199351,1.22E-15,1.18E-13
ENSG00000006638.13,51.00856169,1.367879432,0.431872415,3.167322996,0.001538493,0.008921246
ENSG00000007264.15,33.83573263,1.520140449,0.508467225,2.98965277,0.002792947,0.014414419
ENSG00000011028.14,216.0644369,1.249144085,0.22677776,5.508230102,3.62E-08,8.75E-07
ENSG00000011422.12,1053.459697,1.242985643,0.140703183,8.834097545,1.01E-18,1.49E-16
ENSG00000012171.20,169.2228741,1.622722989,0.275975962,5.87994323,4.10E-09,1.20E-07
ENSG00000026297.16,153.3923523,1.235356154,0.27675047,4.463790622,8.05E-06,0.000105242
ENSG00000029534.21,3517.461012,1.055425467,0.136060332,7.757040193,8.69E-15,7.08E-13
ENSG00000053918.18,99.2236993,2.249181182,0.334828677,6.717409043,1.85E-11,9.13E-10
ENSG00000055118.16,23.63254802,2.088464745,0.631128333,3.309096799,0.000935975,0.005938274
ENSG00000058404.20,61.47762718,1.53813704,0.391430696,3.929525851,8.51E-05,0.000806154
ENSG00000058804.12,2427.693589,1.024119907,0.114968813,8.907806244,5.21E-19,8.23E-17
ENSG00000061337.15,271.4768866,1.719557554,0.210672556,8.162228554,3.29E-16,3.49E-14
ENSG00000061656.11,52.5314731,1.032876157,0.405944475,2.544377916,0.010947257,0.043033934
ENSG00000064300.9,83.81733006,3.05581642,0.393198146,7.771695894,7.74E-15,6.35E-13
ENSG00000064886.14,72.16013362,1.02816579,0.349778011,2.939480918,0.003287625,0.016436888
ENSG00000065717.15,324.4175009,1.895536036,0.19977181,9.488506073,2.34E-21,5.10E-19
ENSG00000068078.20,278.7057121,1.435516531,0.204068331,7.034489488,2.00E-12,1.12E-10
ENSG00000069482.7,867.4328544,1.307108721,0.156546563,8.349648162,6.85E-17,7.98E-15
ENSG00000071575.11,2332.174442,1.234593443,0.11607204,10.63644129,2.02E-26,7.88E-24
ENSG00000073670.14,126.8770082,1.598884524,0.278155741,5.748162949,9.02E-09,2.45E-07
ENSG00000073849.16,49.77113401,1.21371706,0.434992374,2.790203076,0.005267499,0.023995582
ENSG00000074181.9,516.4366921,2.206294745,0.198864983,11.0944356,1.34E-28,5.91E-26
ENSG00000075043.19,440.9130363,1.923824407,0.181523534,10.5982093,3.04E-26,1.09E-23
ENSG00000075461.6,223.6702688,1.42389584,0.220681627,6.452262732,1.10E-10,4.60E-09
ENSG00000081059.20,2092.613815,2.171548631,0.120403885,18.03553618,1.02E-72,4.54E-69
ENSG00000084628.10,22.37543472,1.618286938,0.628294346,2.575682794,0.010004238,0.039953766
ENSG00000085365.18,1034.965816,1.300172275,0.137514877,9.45477536,3.24E-21,6.82E-19
ENSG00000088340.17,83.76199529,2.380406772,0.356080129,6.685031204,2.31E-11,1.11E-09
ENSG00000088836.14,111.4885875,1.01021642,0.288645395,3.499852887,0.000465515,0.00330574
ENSG00000088992.18,71.64334294,1.222592597,0.361869649,3.378544184,0.000728707,0.004840672
ENSG00000090661.12,211.9032299,1.129577891,0.247284929,4.567920472,4.93E-06,6.80E-05
ENSG00000090905.19,1334.027023,1.034476757,0.179361253,5.767559818,8.04E-09,2.22E-07
ENSG00000090924.15,389.2976904,1.223726087,0.18354597,6.667136774,2.61E-11,1.24E-09
ENSG00000099219.14,10013.47097,1.399705205,0.111218761,12.58515379,2.55E-36,2.42E-33
ENSG00000099822.3,383.0694863,1.843616248,0.182538916,10.09985316,5.53E-24,1.60E-21
ENSG00000099849.15,246.3977306,1.519323958,0.222687563,6.822670921,8.94E-12,4.58E-10
ENSG00000099904.16,1042.857503,1.072041454,0.135288189,7.924131889,2.30E-15,2.10E-13
ENSG00000099953.10,150.8226659,1.338650043,0.265013062,5.051260615,4.39E-07,8.33E-06
ENSG00000100065.15,193.286232,1.519528062,0.233991605,6.493942639,8.36E-11,3.62E-09
ENSG00000100167.20,78.89549349,1.417075659,0.348146396,4.07034419,4.69E-05,0.000486245
ENSG00000100228.13,121.2050889,1.557081933,0.289828194,5.372430861,7.77E-08,1.76E-06
ENSG00000100344.11,110.0389596,1.286565701,0.302872097,4.247884553,2.16E-05,0.000250051
ENSG00000100526.20,953.9658989,1.000687384,0.158375189,6.318460564,2.64E-10,1.02E-08
ENSG00000100867.15,353.8581131,1.758669111,0.200330087,8.778856631,1.65E-18,2.41E-16
ENSG00000100994.12,24099.45679,1.145402527,0.100923456,11.34922025,7.48E-30,3.97E-27
ENSG00000101144.13,310.3369366,1.089393819,0.189901711,5.736619279,9.66E-09,2.61E-07
ENSG00000101210.13,3217.636079,1.328810588,0.1123816,11.82409392,2.93E-32,1.95E-29
ENSG00000101265.16,50.75037316,1.322638404,0.416691522,3.174142826,0.001502797,0.008764007
ENSG00000101298.15,29.59623715,1.829765323,0.552626062,3.311036971,0.000929509,0.005907272
ENSG00000101331.17,285.9177894,1.427989535,0.21741279,6.568102702,5.10E-11,2.29E-09
ENSG00000101335.10,758.7594847,1.13483829,0.15110317,7.510353962,5.90E-14,4.40E-12
ENSG00000101400.6,472.7104305,1.120135208,0.169621881,6.603718805,4.01E-11,1.85E-09
ENSG00000102312.23,1294.23832,1.34469341,0.128091904,10.49787977,8.83E-26,2.93E-23
ENSG00000102882.12,945.7629626,1.380827842,0.139800558,9.877126841,5.23E-23,1.42E-20
ENSG00000102901.13,918.3284285,1.090840369,0.142142574,7.674269151,1.66E-14,1.32E-12
ENSG00000103044.11,274.2797399,1.10679087,0.200444581,5.52168017,3.36E-08,8.14E-07
ENSG00000103241.7,45.26956249,1.197683255,0.439061995,2.727822652,0.006375387,0.028014153
ENSG00000103253.19,228.3417744,1.156271232,0.227945731,5.072572433,3.92E-07,7.56E-06
ENSG00000103260.9,292.4394601,1.64169286,0.204630782,8.022707277,1.03E-15,1.01E-13
ENSG00000103811.18,462.7734575,1.043182313,0.171020665,6.099744201,1.06E-09,3.60E-08
ENSG00000104833.12,354.2082782,1.946225962,0.189277429,10.28239853,8.46E-25,2.67E-22
ENSG00000104969.11,2665.073415,1.316475904,0.11942795,11.02318098,2.95E-28,1.27E-25
ENSG00000105048.17,191.2014515,1.79666423,0.241836527,7.429250862,1.09E-13,7.71E-12
ENSG00000105255.11,87.0351548,1.865368354,0.336171405,5.548860872,2.88E-08,7.09E-07
ENSG00000105290.13,70.12059696,1.428881687,0.397225016,3.597159363,0.000321711,0.002427276
ENSG00000105323.17,6073.664988,1.090127631,0.110761157,9.842147351,7.41E-23,1.97E-20
ENSG00000105329.11,173.1363971,2.183237441,0.264222338,8.262879868,1.42E-16,1.59E-14
ENSG00000105376.5,445.5516626,1.596627198,0.170826965,9.34645886,9.06E-21,1.82E-18
ENSG00000105655.19,1815.787872,1.084714166,0.12031098,9.015919995,1.95E-19,3.24E-17
ENSG00000105711.13,52.6904065,2.37889812,0.442305029,5.378410742,7.51E-08,1.71E-06
ENSG00000105767.3,204.2238666,1.051155409,0.238747349,4.402794057,1.07E-05,0.000134892
ENSG00000105855.10,22.86947941,2.238678314,0.648869374,3.450121712,0.000560334,0.003871318
ENSG00000106211.10,7723.626944,1.051871144,0.129869259,8.099462139,5.52E-16,5.60E-14
ENSG00000106799.13,396.982182,1.034791268,0.174517715,5.929433965,3.04E-09,9.11E-08
ENSG00000107331.17,954.9283032,1.575338477,0.16425014,9.591093689,8.72E-22,1.93E-19
ENSG00000107719.9,316.1809407,1.834743184,0.201246446,9.116897301,7.73E-20,1.41E-17
ENSG00000107738.20,68.16418655,1.320139732,0.363040115,3.636346719,0.000276532,0.002143648
ENSG00000107957.16,830.0258195,1.241700824,0.158685297,7.824926763,5.08E-15,4.30E-13
ENSG00000108406.10,885.2542756,1.058639765,0.146938503,7.204645085,5.82E-13,3.68E-11
ENSG00000108947.5,39.51153938,1.978678642,0.495939606,3.989757261,6.61E-05,0.000653
ENSG00000110422.12,1418.759948,1.29828038,0.144371953,8.992607987,2.41E-19,3.96E-17
ENSG00000110719.10,1056.228887,1.336226953,0.137192862,9.739770244,2.04E-22,4.84E-20
ENSG00000110811.20,229.4538097,1.255949316,0.245081137,5.124626603,2.98E-07,5.90E-06
ENSG00000111424.12,23.64512034,1.809291161,0.620794259,2.914477919,0.00356284,0.017464361
ENSG00000112139.17,260.8258109,1.759043124,0.22091108,7.962674955,1.68E-15,1.60E-13
ENSG00000112655.16,250.1701457,1.415125781,0.222769046,6.352434523,2.12E-10,8.40E-09
ENSG00000113272.14,123.2990928,1.393987932,0.298990924,4.662308523,3.13E-06,4.58E-05
ENSG00000113758.13,3644.531987,1.013799048,0.111296098,9.109025962,8.31E-20,1.49E-17
ENSG00000114646.10,82.8275864,1.823744287,0.340808697,5.351225785,8.74E-08,1.95E-06
ENSG00000114853.15,129.9789928,1.05465019,0.277316591,3.803054799,0.000142923,0.001239628
ENSG00000115107.20,437.1157248,2.524327761,0.184722261,13.66553086,1.63E-42,2.71E-39
ENSG00000115255.12,344.0269296,1.323557175,0.187086939,7.074556804,1.50E-12,8.69E-11
